common	I need a glass of water.
common	Please close the front door.
common	We can meet after lunch.
common	She wrote a short letter.
common	They found the missing key.
common	He works from home today.
common	The children played outside.
common	I heard the morning news.
common	Bring your coat and shoes.
common	This coffee tastes very good.
irregular	I thought you already knew.
irregular	She bought two blue scarves.
irregular	He caught the early train.
irregular	We read the whole book yesterday.
irregular	The choir sang beautifully.
irregular	They were ready before noon.
irregular	I have known her for years.
irregular	The wind blew across the field.
irregular	He does the work himself.
irregular	She said the answer aloud.
proper	Alice moved to Boston last spring.
proper	Michael called Sarah on Friday.
proper	Chicago has a busy airport.
proper	Olivia visited California in June.
proper	Jordan met Taylor near Broadway.
proper	Seattle looks beautiful in autumn.
proper	Daniel sent Emma a postcard.
proper	Victoria traveled through Texas.
proper	Henry studies at Stanford.
proper	Grace watched a movie in Brooklyn.
numbers	The meeting starts at seven thirty.
numbers	Room twenty four is upstairs.
numbers	She paid fifteen dollars.
numbers	The train leaves at nine.
numbers	We counted one hundred boxes.
numbers	His flight is number forty two.
numbers	The year twenty twenty six feels busy.
numbers	Add three cups of water.
numbers	They finished in second place.
numbers	I woke up at six fifteen.
abbreviation	The CEO approved the plan.
abbreviation	Please send the PDF today.
abbreviation	The FBI opened an office.
abbreviation	Our GPS lost the signal.
abbreviation	She earned an MBA abroad.
abbreviation	The USB cable is missing.
abbreviation	We watched a BBC report.
abbreviation	The URL appears below.
abbreviation	An ATM stands near the bank.
abbreviation	The FAQ answers that question.
punctuation	Wait, did you hear that?
punctuation	Yes, I can help.
punctuation	Stop! The light is red.
punctuation	Well... that was unexpected.
punctuation	First, wash and dry the cup.
punctuation	Really? I thought it was Monday.
punctuation	No; we should leave now.
punctuation	After dinner, call me.
punctuation	He asked, "Are you ready?"
punctuation	Maybe - but I am not sure.
phrase	I want to go home.
phrase	We are going to leave soon.
phrase	Did you finish the report?
phrase	Pick it up from the floor.
phrase	The big game starts tonight.
phrase	Make a cup of tea.
phrase	They were here a minute ago.
phrase	You and me can solve it.
phrase	She can go to the store.
phrase	It was good for a while.
unknown	Codexium powers the demo.
unknown	Zorblax crossed the valley.
unknown	Nymeriax appears in the title.
unknown	Quendral wrote the message.
unknown	Vexilon is a fictional city.
unknown	Brontavia has cold winters.
unknown	Klystronix sounds technical.
unknown	Pellucidex remains unknown.
unknown	Torvellan joined the group.
unknown	Xantherium glows at night.
hyphen	The well-known actor arrived.
hyphen	She chose a last-minute flight.
hyphen	This is a user-friendly tool.
hyphen	We need a long-term plan.
hyphen	The two-year project ended.
hyphen	He wore a dark-blue jacket.
hyphen	It was a record-breaking day.
hyphen	The check-in desk is open.
hyphen	They made a follow-up call.
hyphen	Use the state-of-the-art model.
context	Can you open the window?
context	I can finish it tomorrow.
context	The apple is on the table.
context	The theme song sounds familiar.
context	Did they see the accident?
context	Did you see the accident?
context	Water covers the road.
context	The tree covers the road.
context	Last call is at midnight.
context	The last train has left.
